Exact_Date,HomeTeam,AwayTeam,Score,Full time result,Home odds,Draw odds,Away odds,,,,,,,,
14.06.2018,Russia,Saudi Arabia,0:00,D,1.42,4.32,8.89,,Brazil,Costa Rica,2:00,1.2,6.61,18.29,22.06.2018
15.06.2018,Egypt,Uruguay,0:00,D,6.59,3.65,1.6,,Serbia,Switzerland,1:02,2.72,3.01,2.92,22.06.2018
15.06.2018,Morocco,Iran,0:00,D,2.28,2.94,3.69,,Nigeria,Iceland,2:00,2.96,3.04,2.67,22.06.2018
15.06.2018,Portugal,Spain,0:00,D,4.4,3.33,1.91,,Argentina,Croatia,0:03,2.09,3.23,3.96,21.06.2018
16.06.2018,France,Australia,0:00,D,1.22,6.34,13.83,,Denmark,Australia,1:01,1.9,3.38,4.54,21.06.2018
16.06.2018,Peru,Denmark,0:00,D,3.13,3.19,2.4,,France,Peru,1:00,1.6,3.79,6.52,21.06.2018
16.06.2018,Argentina,Iceland,0:00,D,1.31,4.9,12.25,,Iran,Spain,0:01,18.58,6.6,1.19,20.06.2018
16.06.2018,Croatia,Nigeria,0:00,D,1.7,3.61,5.42,,Portugal,Morocco,1:00,1.68,3.63,5.88,20.06.2018
17.06.2018,Costa Rica,Serbia,0:00,D,4.43,3.26,1.94,,Uruguay,Saudi Arabia,1:00,1.2,6.54,17.09,20.06.2018
17.06.2018,Brazil,Switzerland,0:00,D,1.41,4.58,8.38,,Colombia,Japan,1:02,1.86,3.3,4.99,19.06.2018
17.06.2018,Germany,Mexico,0:00,D,1.48,4.24,7.25,,Poland,Senegal,1:02,2.46,3.03,3.28,19.06.2018
18.06.2018,Sweden,South Korea,0:00,D,2.03,3.23,4.08,,Russia,Egypt,3:01,1.94,3.45,4.23,19.06.2018
18.06.2018,Belgium,Panama,0:00,D,1.17,7.1,19.02,,Belgium,Panama,3:00,1.2,6.73,17.59,18.06.2018
18.06.2018,Tunisia,England,0:00,D,9.55,4.53,1.38,,Tunisia,England,1:02,8.4,4.15,1.47,18.06.2018
19.06.2018,Russia,Egypt,0:00,D,2.03,3.26,3.91,,Sweden,South Korea,1:00,2.23,3.02,3.82,18.06.2018
19.06.2018,Colombia,Japan,0:00,D,1.68,3.62,5.63,,Germany,Mexico,0:01,1.47,4.46,7.27,17.06.2018
19.06.2018,Poland,Senegal,0:00,D,2.33,3.18,3.29,,Brazil,Switzerland,1:01,1.46,4.32,8.13,17.06.2018
20.06.2018,Uruguay,Saudi Arabia,0:00,D,1.21,6.09,15.26,,Costa Rica,Serbia,0:01,5.15,3.35,1.83,17.06.2018
20.06.2018,Portugal,Morocco,0:00,D,1.64,3.7,5.77,,Argentina,Iceland,1:01,1.32,5.17,10.68,16.06.2018
20.06.2018,Iran,Spain,0:00,D,16.98,6.43,1.19,,Croatia,Nigeria,2:00,1.67,3.72,5.83,16.06.2018
21.06.2018,Denmark,Australia,0:00,D,1.71,3.65,5.1,,France,Australia,2:01,1.25,6.77,10.44,16.06.2018
21.06.2018,France,Peru,0:00,D,1.42,4.56,7.85,,Peru,Denmark,0:01,3.64,3.05,2.28,16.06.2018
21.06.2018,Argentina,Croatia,0:00,D,1.95,3.38,4.06,,Morocco,Iran,0:01,2.19,2.92,4.09,15.06.2018
22.06.2018,Nigeria,Iceland,0:00,D,2.6,3.09,2.88,,Portugal,Spain,3:03,4.21,3.21,2.02,15.06.2018
22.06.2018,Brazil,Costa Rica,0:00,D,1.22,6.12,14.42,,Egypt,Uruguay,0:01,8.09,4.01,1.49,15.06.2018
22.06.2018,Serbia,Switzerland,0:00,D,2.95,3.12,2.55,,Russia,Saudi Arabia,5:00,1.44,4.26,8.64,14.06.2018
23.06.2018,South Korea,Mexico,0:00,D,4.45,3.43,1.86,,,,,,,,
23.06.2018,Germany,Sweden,0:00,D,1.43,4.5,7.64,,,,,,,,
23.06.2018,Belgium,Tunisia,0:00,D,1.3,5.21,10.36,,,,,,,,
24.06.2018,England,Panama,0:00,D,1.2,6.42,16.77,,,,,,,,
24.06.2018,Japan,Senegal,0:00,D,3.53,3.24,2.15,,,,,,,,
24.06.2018,Poland,Colombia,0:00,D,3.26,3.2,2.29,,,,,,,,
25.06.2018,Saudi Arabia,Egypt,0:00,D,5.04,3.55,1.74,,,,,,,,
25.06.2018,Uruguay,Russia,0:00,D,2.32,3.12,3.31,,,,,,,,
25.06.2018,Iran,Portugal,0:00,D,9.09,4.7,1.37,,,,,,,,
25.06.2018,Spain,Morocco,0:00,D,1.36,4.69,9.35,,,,,,,,
26.06.2018,Australia,Peru,0:00,D,3.55,3.29,2.14,,,,,,,,
26.06.2018,Denmark,France,0:00,D,5.51,3.73,1.66,,,,,,,,
26.06.2018,Iceland,Croatia,0:00,D,4.79,3.52,1.78,,,,,,,,
26.06.2018,Nigeria,Argentina,0:00,D,7.22,4.36,1.46,,,,,,,,
27.06.2018,Serbia,Brazil,0:00,D,8.72,4.74,1.37,,,,,,,,
27.06.2018,Switzerland,Costa Rica,0:00,D,1.9,3.34,4.35,,,,,,,,
27.06.2018,Mexico,Sweden,0:00,D,2.49,3.17,2.96,,,,,,,,
27.06.2018,South Korea,Germany,0:00,D,11.15,5.44,1.28,,,,,,,,
28.06.2018,England,Belgium,0:00,D,2.91,3.31,2.45,,,,,,,,
28.06.2018,Panama,Tunisia,0:00,D,3.5,3.2,2.19,,,,,,,,
28.06.2018,Japan,Poland,0:00,D,4.28,3.45,1.88,,,,,,,,
28.06.2018,Senegal,Colombia,0:00,D,3.95,3.31,2,,,,,,,,
